0, 13080811
1, 13080812
4, 13080812
6, 13080859
5, 13080859
7, 13080865
8, 13080870
9, 13080871
11, 13080872
10, 13080874
12, 13080874
13, 13080875
16, 13080875
14, 13080875
15, 13080876
17, 13080935
18, 13080935
21, 13080942
19, 13080943
20, 13080943
22, 13080966
23, 13080978
28, 13080981
24, 13080983
25, 13080983
26, 13080983
27, 13080984
30, 13081067
35, 13081071
36, 13081072
37, 13081073
29, 13081073
31, 13081074
32, 13081074
33, 13081075
34, 13081075
42, 13081174
45, 13081175
38, 13081177
39, 13081177
40, 13081177
41, 13081178
43, 13081178
44, 13081178
46, 13081178
47, 13081179
48, 13081179
49, 13081179
50, 13081181
55, 13081297
51, 13081300
52, 13081305
53, 13081311
60, 13081311
54, 13081316
56, 13081317
57, 13081318
58, 13081321
59, 13081321
65, 13081378
61, 13081379
62, 13081379
63, 13081380
64, 13081380
66, 13081380
67, 13081380
68, 13081381
69, 13081381
71, 13081381
70, 13081387
75, 13081387
72, 13081388
73, 13081389
74, 13081389
76, 13081478
77, 13081478
78, 13081481
80, 13081485
79, 13081485
81, 13081486
85, 13081486
82, 13081487
83, 13081487
84, 13081487
90, 13081630
86, 13081630
87, 13081631
88, 13081631
89, 13081631
91, 13081632
95, 13081632
100, 13081632
92, 13081633
93, 13081633
94, 13081633
96, 13081634
97, 13081634
98, 13081634
99, 13081635
105, 13081663
101, 13081664
102, 13081664
103, 13081666
104, 13081667
106, 13081668
107, 13081669
110, 13081672
108, 13081673
109, 13081674
111, 13081698
112, 13081699
113, 13081700
114, 13081701
115, 13081710
120, 13081782
116, 13081785
117, 13081786
118, 13081786
119, 13081786
125, 13081795
121, 13081796
122, 13081797
123, 13081797
124, 13081797
126, 13081889
127, 13081889
128, 13081889
129, 13081889
130, 13081899
135, 13081900
131, 13081903
132, 13081903
133, 13081903
134, 13081903
136, 13081927
140, 13081937
137, 13081938
138, 13081938
139, 13081939
141, 13081991
142, 13081995
145, 13082003
143, 13082005
144, 13082006
150, 13082013
146, 13082014
147, 13082014
148, 13082014
149, 13082014
151, 13082093
152, 13082094
153, 13082094
154, 13082094
158, 13082095
155, 13082099
156, 13082100
157, 13082100
165, 13082103
159, 13082103
160, 13082103
161, 13082104
162, 13082104
163, 13082105
164, 13082105
169, 13082183
